Fecha;Ecopetrol;ISA;CORFI
22/02/21;2233;22970;32590
23/02/21;2291;22620;32460
24/02/21;2309;23600;32600
25/02/21;2280;22820;32520
26/02/21;2250;23800;32540
1/03/21;2246;23630;32540
2/03/21;2245;23680;32490
3/03/21;2255;23600;32430
4/03/21;2279;23110;32430
5/03/21;2400;23600;32150
8/03/21;2347;23520;32210
9/03/21;2339;23700;31980
10/03/21;2373;23800;32200
11/03/21;2368;23600;32370
12/03/21;2378;23780;32380
15/03/21;2480;23510;32200
16/03/21;2460;23360;32490
17/03/21;2457;23380;32350
18/03/21;2350;23680;31100
19/03/21;2370;23600;32000
22/03/21;2370;23600;32000
23/03/21;2281;23100;32300
24/03/21;2333;23100;32160
25/03/21;2315;22630;32130
26/03/21;2351;22300;32290
29/03/21;2388;22200;32900
30/03/21;2373;22960;32640
31/03/21;2366;22500;32730
1/04/21;2366;22500;32730
5/04/21;2325;22950;32230
6/04/21;2289;23200;32200
7/04/21;2337;23200;32600
8/04/21;2281;23190;32400
9/04/21;2260;22570;32310
12/04/21;2287;22700;32300
13/04/21;2280;22890;32660
14/04/21;2344;22650;32580
15/04/21;2319;23000;32410
16/04/21;2301;22640;32600
19/04/21;2300;22620;32570
20/04/21;2281;22740;32500
21/04/21;2262;22590;32460
22/04/21;2250;22500;32600
23/04/21;2228;22300;32350
26/04/21;2270;22050;32310
27/04/21;2287;21660;32730
